batch,r_sigma,r_g,rho
0,15.4490674913308,35.16379936805767,2.2761114473601554
1,15.423949499997821,32.088081691328945,2.080406298745563
2,16.41999088042541,31.126353341997497,1.8956376753597244
3,17.033950828973143,31.101643237777562,1.8258619829333194
4,14.501243503449501,31.33977120089703,2.161178190921492
