method,n_samples,seed,final_accuracy,accuracy_auc,concept_re_id_accuracy,assignment_entropy,wrong_memory_reuse_rate,total_bytes,wall_clock_s
FedAvg,1200,43,0.3754166666666667,5.636041666666666,,,,374400.0,0.07965469360351562
Oracle,1200,44,0.10833333333333334,1.8812499999999999,1.0,1.0243464415606618,0.0,374400.0,0.12419676780700684
FPT-linear,1200,44,0.4766666666666667,6.09875,0.5,0.57534074332049,0.5,462960.0,2.0453197956085205
CFL,1200,44,0.6041666666666666,8.668958333333332,,,,374400.0,0.7649877071380615
FedAvg,1200,44,0.40458333333333335,4.921458333333334,,,,374400.0,0.079254150390625
Oracle,1200,45,0.11958333333333333,1.5012499999999998,1.0,1.0374276451547721,0.0,374400.0,0.1291673183441162
FPT-linear,1200,45,0.5375,6.359791666666666,0.375,0.5567205188247183,0.625,462960.0,2.1342363357543945
CFL,1200,45,0.6383333333333333,8.8121875,,,,374400.0,0.7674031257629395
FedAvg,1200,45,0.4525,5.040208333333333,,,,374400.0,0.08677005767822266
Oracle,1200,46,0.12291666666666666,1.7631249999999998,1.0,1.1783502071328453,0.0,374400.0,0.11986470222473145
FPT-linear,1200,46,0.47583333333333333,7.104166666666667,0.4,0.5455603557647968,0.6,462960.0,2.119126081466675
CFL,1200,46,0.610625,9.802291666666667,,,,374400.0,0.7404711246490479
FedAvg,1200,46,0.4370833333333334,5.715208333333334,,,,374400.0,0.09324312210083008
Oracle,2000,42,0.11699999999999999,1.575125,1.0,1.1718096053371716,0.0,374400.0,0.16367816925048828
FPT-linear,2000,42,0.5302499999999999,6.3575,0.4,0.5651190759459543,0.6,462960.0,2.9406657218933105
CFL,2000,42,0.6695,8.89075,,,,374400.0,1.173954963684082
FedAvg,2000,42,0.49075,5.277749999999999,,,,374400.0,0.11816263198852539
Oracle,2000,43,0.13025,2.226,1.0,1.0439682469518277,0.0,374400.0,0.12938737869262695
FPT-linear,2000,43,0.44675000000000004,7.4915,0.45,0.49911365846851397,0.55,462960.0,3.0198373794555664
CFL,2000,43,0.52575,9.813249999999998,,,,374400.0,1.0060791969299316
FedAvg,2000,43,0.36874999999999997,5.6465,,,,374400.0,0.11866497993469238
Oracle,2000,44,0.116,1.88375,1.0,1.0243464415606618,0.0,374400.0,0.15386724472045898
FPT-linear,2000,44,0.46425,5.937874999999998,0.5,0.5817009514560361,0.5,462960.0,3.7984490394592285
CFL,2000,44,0.60625,8.6480625,,,,374400.0,1.1595945358276367
FedAvg,2000,44,0.42800000000000005,4.9405,,,,374400.0,0.11713027954101562
Oracle,2000,45,0.11975,1.4753749999999999,1.0,1.0374276451547721,0.0,374400.0,0.14575529098510742
FPT-linear,2000,45,0.55025,6.491625,0.4,0.5568618877211738,0.6,462960.0,3.0525035858154297
CFL,2000,45,0.63125,8.8470625,,,,374400.0,1.0201308727264404
FedAvg,2000,45,0.44525000000000003,5.108625,,,,374400.0,0.10350298881530762
Oracle,2000,46,0.1335,1.7088750000000001,1.0,1.1783502071328453,0.0,374400.0,0.15769624710083008
FPT-linear,2000,46,0.499,7.157875,0.45,0.5455225352367798,0.55,462960.0,3.222388505935669
CFL,2000,46,0.6268750000000001,9.802687499999998,,,,374400.0,1.034522294998169
FedAvg,2000,46,0.44600000000000006,5.783375,,,,374400.0,0.08616042137145996
