generator_type,rho,alpha,delta,K,T,seed,method,concept_re_id_accuracy,assignment_entropy,wrong_memory_reuse_rate,worst_window_dip,worst_window_recovery,budget_normalized_score,final_accuracy,accuracy_auc
rotating_mnist,2.0,0.0,0.1,5,10,42,FedProTrack,0.42,1.387011,0.58,0.052,1,0.000445,0.772,5.699
rotating_mnist,2.0,0.0,0.1,5,10,42,FedAvg,,,,0.004,0,,0.774,6.35
rotating_mnist,2.0,0.0,0.1,5,10,42,IFCA,0.4,0.0,0.6,0.05,2,0.000464,0.795,7.0185
rotating_mnist,2.0,0.0,0.1,5,10,42,FedProto,,,,0.057,2,0.000482,0.784,6.9465
rotating_mnist,2.0,0.0,0.1,5,10,123,FedProTrack,0.48,1.453185,0.52,0.006,0,0.00043,0.73,5.508
rotating_mnist,2.0,0.0,0.1,5,10,123,FedAvg,,,,0.05,1,,0.812,6.585
rotating_mnist,2.0,0.0,0.1,5,10,123,IFCA,0.4,0.0,0.6,0.044,1,0.000459,0.807,6.94
rotating_mnist,2.0,0.0,0.1,5,10,123,FedProto,,,,0.046,1,0.000481,0.796,6.93
rotating_mnist,2.0,0.0,0.1,5,10,456,FedProTrack,0.54,1.473826,0.46,0.022,0,0.000427,0.7,5.461
rotating_mnist,2.0,0.0,0.1,5,10,456,FedAvg,,,,0.016,0,,0.786,6.392
rotating_mnist,2.0,0.0,0.1,5,10,456,IFCA,0.4,0.0,0.6,0.0,0,0.000471,0.806,7.128
rotating_mnist,2.0,0.0,0.1,5,10,456,FedProto,,,,0.032,0,0.000491,0.785,7.0735
rotating_mnist,2.0,0.0,0.1,5,10,789,FedProTrack,0.5,1.487788,0.5,0.02,0,0.000455,0.758,5.825
rotating_mnist,2.0,0.0,0.1,5,10,789,FedAvg,,,,0.004,0,,0.78,6.466
rotating_mnist,2.0,0.0,0.1,5,10,789,IFCA,0.5,0.0,0.5,0.023,0,0.000457,0.778,6.907
rotating_mnist,2.0,0.0,0.1,5,10,789,FedProto,,,,0.038,0,0.000484,0.763,6.9685
rotating_mnist,2.0,0.0,0.1,5,10,1024,FedProTrack,0.4,1.461003,0.6,0.0,0,0.000414,0.748,5.3
rotating_mnist,2.0,0.0,0.1,5,10,1024,FedAvg,,,,0.0,0,,0.81,6.229
rotating_mnist,2.0,0.0,0.1,5,10,1024,IFCA,0.4,0.0,0.6,0.059,1,0.000463,0.821,7.005
rotating_mnist,2.0,0.0,0.1,5,10,1024,FedProto,,,,0.077,2,0.000484,0.807,6.973
rotating_mnist,2.0,0.0,0.3,5,10,42,FedProTrack,0.42,1.221635,0.58,0.0,0,0.000444,0.756,5.679
rotating_mnist,2.0,0.0,0.3,5,10,42,FedAvg,,,,0.15,3,,0.792,5.791
rotating_mnist,2.0,0.0,0.3,5,10,42,IFCA,0.4,0.0,0.6,0.048,2,0.000434,0.803,6.557
rotating_mnist,2.0,0.0,0.3,5,10,42,FedProto,,,,0.148,4,0.00046,0.761,6.621
rotating_mnist,2.0,0.0,0.3,5,10,123,FedProTrack,0.52,1.370843,0.48,0.012,0,0.00045,0.73,5.754
rotating_mnist,2.0,0.0,0.3,5,10,123,FedAvg,,,,0.034,0,,0.788,5.987
rotating_mnist,2.0,0.0,0.3,5,10,123,IFCA,0.48,0.117341,0.52,0.055,1,0.000426,0.802,6.436
rotating_mnist,2.0,0.0,0.3,5,10,123,FedProto,,,,0.122,3,0.000453,0.768,6.527
rotating_mnist,2.0,0.0,0.3,5,10,456,FedProTrack,0.6,1.377912,0.4,0.0,0,0.00043,0.698,5.502
rotating_mnist,2.0,0.0,0.3,5,10,456,FedAvg,,,,0.0,0,,0.76,6.135
rotating_mnist,2.0,0.0,0.3,5,10,456,IFCA,0.54,0.117341,0.46,0.074,2,0.000441,0.8,6.675
rotating_mnist,2.0,0.0,0.3,5,10,456,FedProto,,,,0.054,2,0.000478,0.781,6.8805
rotating_mnist,2.0,0.0,0.3,5,10,789,FedProTrack,0.48,1.466931,0.52,0.068,6,0.000415,0.668,5.306
rotating_mnist,2.0,0.0,0.3,5,10,789,FedAvg,,,,0.02,0,,0.75,6.321
rotating_mnist,2.0,0.0,0.3,5,10,789,IFCA,0.5,0.0,0.5,0.07,3,0.000427,0.756,6.4525
rotating_mnist,2.0,0.0,0.3,5,10,789,FedProto,,,,0.061,1,0.000463,0.731,6.6705
rotating_mnist,2.0,0.0,0.3,5,10,1024,FedProTrack,0.52,1.29722,0.48,0.05,1,0.000453,0.72,5.8
rotating_mnist,2.0,0.0,0.3,5,10,1024,FedAvg,,,,0.088,1,,0.764,5.95
rotating_mnist,2.0,0.0,0.3,5,10,1024,IFCA,0.44,0.234683,0.56,0.076,1,0.000416,0.798,6.296
rotating_mnist,2.0,0.0,0.3,5,10,1024,FedProto,,,,0.172,6,0.000456,0.777,6.57
rotating_mnist,2.0,0.0,0.5,5,10,42,FedProTrack,0.42,1.241685,0.58,0.198,3,0.000335,0.558,4.292
rotating_mnist,2.0,0.0,0.5,5,10,42,FedAvg,,,,0.272,5,,0.686,5.408
rotating_mnist,2.0,0.0,0.5,5,10,42,IFCA,0.46,0.067301,0.54,0.172,3,0.000401,0.7,6.0645
rotating_mnist,2.0,0.0,0.5,5,10,42,FedProto,,,,0.18,6,0.00045,0.738,6.4815
rotating_mnist,2.0,0.0,0.5,5,10,123,FedProTrack,0.52,1.352282,0.48,0.11,3,0.000416,0.712,5.329
rotating_mnist,2.0,0.0,0.5,5,10,123,FedAvg,,,,0.212,6,,0.582,5.092
rotating_mnist,2.0,0.0,0.5,5,10,123,IFCA,0.38,0.05004,0.62,0.086,3,0.000393,0.751,5.9475
rotating_mnist,2.0,0.0,0.5,5,10,123,FedProto,,,,0.123,3,0.000435,0.74,6.27
rotating_mnist,2.0,0.0,0.5,5,10,456,FedProTrack,0.6,1.312389,0.4,0.032,0,0.000434,0.692,5.551
rotating_mnist,2.0,0.0,0.5,5,10,456,FedAvg,,,,0.02,0,,0.72,5.811
rotating_mnist,2.0,0.0,0.5,5,10,456,IFCA,0.4,0.0,0.6,0.099,2,0.00044,0.791,6.657
rotating_mnist,2.0,0.0,0.5,5,10,456,FedProto,,,,0.111,5,0.000459,0.764,6.609
rotating_mnist,2.0,0.0,0.5,5,10,789,FedProTrack,0.4,1.462606,0.6,0.0,0,0.000419,0.714,5.363
rotating_mnist,2.0,0.0,0.5,5,10,789,FedAvg,,,,0.108,3,,0.734,5.809
rotating_mnist,2.0,0.0,0.5,5,10,789,IFCA,0.58,0.05004,0.42,0.034,0,0.000412,0.713,6.2325
rotating_mnist,2.0,0.0,0.5,5,10,789,FedProto,,,,0.067,1,0.000449,0.713,6.4615
