seed,method,final_acc,re_id,entropy,auc,total_bytes,spawned_concepts,active_concepts,elapsed_s
42,FedProTrack,0.6767,0.7833,0.6878,17.2822,3839640,31,4,36.0
42,CFL,0.7385,0.0,0.0,19.8509,2889600,0,0,13.1
42,IFCA,0.4193,0.9867,1.0216,10.2726,7224000,0,0,12.0
42,FedAvg,0.6928,0.0,0.0,18.1315,2889600,0,0,6.5
42,Oracle,0.723,1.0,1.014,20.5255,2889600,0,0,6.4
