method,n_settings,concept_re_id_accuracy,assignment_entropy,wrong_memory_reuse_rate,budget_normalized_score,final_accuracy,accuracy_auc,worst_window_dip,worst_window_recovery,mean_rank,win_rate
FedProTrack,18,0.4681,1.3348,0.5319,0.0007,0.6153,3.7929,0.0533,1.7222,3.389,0.167
FedAvg,18,,,,,0.6566,4.2021,0.0708,2.6111,3.278,0.000
IFCA,18,0.4694,0.1782,0.5306,0.0008,0.7351,4.8465,0.0624,1.5556,1.667,0.444
FedProto,18,,,,0.0009,0.7372,5.0159,0.0727,2.3333,1.667,0.444
