generator_type,rho,alpha,delta,K,T,seed,method,concept_re_id_accuracy,assignment_entropy,wrong_memory_reuse_rate,worst_window_dip,worst_window_recovery,budget_normalized_score,final_accuracy,accuracy_auc
sine,5.0,0.5,0.5,10,20,54,FedProTrack,0.865,1.22543,0.135,0.1384,6,0.001165,0.4772,9.3182
sine,5.0,0.5,0.5,10,20,54,IFCA,0.735,0.658417,0.265,0.1656,6,0.001153,0.61,10.5145
sine,5.0,0.5,0.5,10,20,54,FedProto,,,,0.197,6,0.001545,0.5246,9.3916
sine,5.0,0.5,0.5,10,20,54,FedAvg,,,,0.1284,6,,0.4844,9.2518
sine,5.0,0.5,0.5,10,20,55,FedProTrack,0.865,1.297812,0.135,0.1144,6,0.001147,0.4508,9.1796
sine,5.0,0.5,0.5,10,20,55,IFCA,0.745,0.397793,0.255,0.174,4,0.001159,0.6346,10.5679
sine,5.0,0.5,0.5,10,20,55,FedProto,,,,0.2722,6,0.001681,0.6496,10.2214
sine,5.0,0.5,0.5,10,20,55,FedAvg,,,,0.096,6,,0.4912,9.2726
sine,5.0,0.5,0.5,10,20,56,FedProTrack,0.935,1.248312,0.065,0.1668,3,0.001126,0.4536,9.006
sine,5.0,0.5,0.5,10,20,56,IFCA,0.755,0.773434,0.245,0.1448,5,0.001129,0.5646,10.2921
sine,5.0,0.5,0.5,10,20,56,FedProto,,,,0.2088,6,0.001589,0.5984,9.6599
sine,5.0,0.5,0.5,10,20,56,FedAvg,,,,0.1268,6,,0.4904,9.2636
sine,5.0,0.5,0.5,10,20,57,FedProTrack,0.91,1.305542,0.09,0.04,1,0.001218,0.476,9.7446
sine,5.0,0.5,0.5,10,20,57,IFCA,0.635,0.686071,0.365,0.0988,6,0.001172,0.5622,10.6904
sine,5.0,0.5,0.5,10,20,57,FedProto,,,,0.1488,4,0.001704,0.5882,10.3614
sine,5.0,0.5,0.5,10,20,57,FedAvg,,,,0.074,6,,0.57,9.8888
sine,5.0,0.5,0.5,10,20,58,FedProTrack,0.93,1.275586,0.07,0.1188,6,0.001155,0.4536,9.2404
sine,5.0,0.5,0.5,10,20,58,IFCA,0.72,0.61992,0.28,0.1578,3,0.001135,0.5764,10.3504
sine,5.0,0.5,0.5,10,20,58,FedProto,,,,0.2664,6,0.001599,0.5854,9.7247
sine,5.0,0.5,0.5,10,20,58,FedAvg,,,,0.0376,1,,0.5136,9.6068
sine,5.0,0.5,0.5,10,20,59,FedProTrack,0.91,1.375896,0.09,0.034,1,0.001175,0.4876,9.4016
sine,5.0,0.5,0.5,10,20,59,IFCA,0.54,0.760119,0.46,0.1424,6,0.001118,0.5884,10.1917
sine,5.0,0.5,0.5,10,20,59,FedProto,,,,0.1934,6,0.001537,0.5948,9.3432
sine,5.0,0.5,0.5,10,20,59,FedAvg,,,,0.0656,6,,0.5584,9.5702
sine,5.0,0.5,0.5,10,20,60,FedProTrack,0.915,1.401914,0.085,0.1364,6,0.001161,0.4156,9.287
sine,5.0,0.5,0.5,10,20,60,IFCA,0.61,0.532597,0.39,0.1134,6,0.001138,0.5084,10.3808
sine,5.0,0.5,0.5,10,20,60,FedProto,,,,0.1954,6,0.001559,0.5712,9.4766
sine,5.0,0.5,0.5,10,20,60,FedAvg,,,,0.102,6,,0.4928,9.566
sine,5.0,0.5,0.5,10,20,61,FedProTrack,0.885,1.370413,0.115,0.1632,6,0.001161,0.4508,9.288
sine,5.0,0.5,0.5,10,20,61,IFCA,0.735,0.595953,0.265,0.1222,6,0.001137,0.5144,10.3704
sine,5.0,0.5,0.5,10,20,61,FedProto,,,,0.2082,6,0.001745,0.5902,10.609
sine,5.0,0.5,0.5,10,20,61,FedAvg,,,,0.1496,6,,0.5756,10.4188
sine,10.0,0.0,0.5,10,20,42,FedProTrack,0.88,1.079046,0.12,0.0,0,0.001493,0.656,11.941
sine,10.0,0.0,0.5,10,20,42,IFCA,0.955,0.0,0.045,0.0,0,0.00124,0.6162,11.3053
sine,10.0,0.0,0.5,10,20,42,FedProto,,,,0.0,0,0.002095,0.672,12.738
sine,10.0,0.0,0.5,10,20,42,FedAvg,,,,0.0,0,,0.5524,9.584
